Place Name,FIPS Code,County
65296,Rincon town,Effingham County
65324,Ringgold city,Catoosa County
65464,Riverdale city,Clayton County
65604,Riverside town,Colquitt County
65856,Roberta city,Crawford County
65968,Robins AFB CDP,Houston County
66024,Rochelle city,Wilcox County
66220,Rockingham CDP,Bacon County
66276,Rockmart city,Polk County
66444,Rocky Ford town,Screven County
66668,Rome city,Floyd County
66696,Roopville town,Carroll County
67256,Rossville city,Walker County
67284,Roswell city,Fulton County
67452,Royston city,"Franklin County, Hart County, Madison County"
67676,Russell CDP,Barrow County
67760,Rutledge city,Morgan County
67984,St. Marys city,Camden County
68040,St. Simons CDP,Glynn County
68096,Sale City city,Mitchell County
68129,Salem CDP,Upson County
68208,Sandersville city,Washington County
68516,Sandy Springs city,Fulton County
68600,Santa Claus city,Toombs County
68740,Sardis city,Burke County
68796,Sasser town,Terrell County
68805,Satilla CDP,Jeff Davis County
68880,Sautee Nacoochee CDP,White County
69000,Savannah city,Chatham County
69336,Scotland city,"Telfair County, Wheeler County"
69392,Scottdale CDP,DeKalb County
69448,Screven city,Wayne County
69672,Senoia city,Coweta County
69728,Seville CDP,Wilcox County
69784,Shady Dale town,Jasper County
69868,Shannon CDP,Floyd County
69896,Sharon city,Taliaferro County
69980,Sharpsburg town,Coweta County
70120,Shellman city,Randolph County
70428,Shiloh city,Harris County
70932,Siloam town,Greene County
71184,Skidaway Island CDP,Chatham County
71282,Sky Valley city,Rabun County
71464,Smithville city,Lee County
71492,Smyrna city,Cobb County
71604,Snellville city,Gwinnett County
71660,Social Circle city,"Newton County, Walton County"
71772,Soperton city,Treutlen County
72556,Sparks town,Cook County
72584,Sparta city,Hancock County
72780,Springfield city,Effingham County
73004,Stapleton city,Jefferson County
73200,Statenville CDP,Echols County
73256,Statesboro city,Bulloch County
73312,Statham city,Barrow County
73620,Stillmore city,Emanuel County
73704,Stockbridge city,Henry County
73816,Stone Mountain city,DeKalb County
74180,Sugar Hill city,Gwinnett County
74348,Summertown city,Emanuel County
74376,Summerville city,Chattooga County
74432,Sumner town,Worth County
74572,Sunny Side city,Spalding County
74628,Sunnyside CDP,Ware County
74768,Sunset Village CDP,Upson County
74852,Surrency town,Appling County
74936,Suwanee city,Gwinnett County
74964,Swainsboro city,Emanuel County
75104,Sycamore city,Turner County
75160,Sylvania city,Screven County
75188,Sylvester city,Worth County
75239,Talahi Island CDP,Chatham County
75244,Talbotton city,Talbot County
75272,Talking Rock town,Pickens County
75300,Tallapoosa city,Haralson County
75328,Tallulah Falls town,"Habersham County, Rabun County"
75412,Talmo town,Jackson County
75496,Tarrytown town,Montgomery County
75580,Tate City CDP,Towns County
75664,Taylorsville town,"Bartow County, Polk County"
75832,Temple city,"Carroll County, Haralson County"
75888,Tennille city,Washington County
76112,The Rock CDP,Upson County
76168,Thomaston city,Upson County
76224,Thomasville city,Thomas County
76280,Thomson city,McDuffie County
76364,Thunderbolt town,Chatham County
76476,Tifton city,Tift County
76504,Tiger town,Rabun County
76532,Tignall town,Wilkes County
76756,Toccoa city,Stephens County
76952,Toomsboro city,Wilkinson County
77372,Trenton city,Dade County
77540,Trion town,Chattooga County
77652,Tucker CDP,DeKalb County
77736,Tunnel Hill city,Whitfield County
77764,Turin town,Coweta County
77988,Twin City city,Emanuel County
78036,Tybee Island city,Chatham County
78044,Tyrone town,Fayette County
78100,Ty Ty city,Tift County
78156,Unadilla city,Dooly County
78324,Union City city,Fulton County
78380,Union Point city,Greene County
78464,Unionville CDP,Tift County
78744,Uvalda city,Montgomery County
78800,Valdosta city,Lowndes County
78996,Varnell city,Whitfield County
79164,Vernonburg town,Chatham County
79388,Vidalia city,"Montgomery County, Toombs County"
79416,Vidette city,Burke County
79444,Vienna city,Dooly County
79528,Villa Rica city,"Carroll County, Douglas County"
79612,Vinings CDP,Cobb County
79808,Waco city,Haralson County
79864,Wadley city,Jefferson County
79948,Waleska city,Cherokee County
80228,Walnut Grove city,Walton County
80256,Walthourville city,Liberty County
80480,Warm Springs city,Meriwether County
80508,Warner Robins city,"Houston County, Peach County"
80592,Warrenton city,Warren County
80676,Warwick city,Worth County
80704,Washington city,Wilkes County
80788,Watkinsville city,Oconee County
80844,Waverly Hall town,Harris County
80956,Waycross city,"Pierce County, Ware County"
80984,Waynesboro city,Burke County
81128,Webster County unified government,Webster County
82132,West Point city,"Harris County, Troup County"
82412,Whigham city,Grady County
82468,White city,Bartow County
82636,Whitemarsh Island CDP,Chatham County
82692,White Plains city,Greene County
82720,Whitesburg city,Carroll County
82972,Willacoochee city,Atkinson County
83084,Williamson city,Pike County
83168,Wilmington Island CDP,Chatham County
83420,Winder city,Barrow County
83728,Winterville city,Clarke County
83868,Woodbine city,Camden County
83896,Woodbury city,Meriwether County
83952,Woodland city,Talbot County
84176,Woodstock city,Cherokee County
84260,Woodville city,Greene County
84288,Woolsey town,Fayette County
84456,Wrens city,Jefferson County
84512,Wrightsville city,Johnson County
84708,Yatesville town,Upson County
84832,Yonah CDP,White County
84960,Young Harris city,Towns County
85128,Zebulon city,Pike County
