Place Name,Median Home Value,Median Rent,Median Household Income,Total Population,Educational Attainment (Total),Labor Force Participation,Total Housing Units,Occupied Units,Vacant Units,Owner-Occupied Units,state,place,Year
"Plainville city, Georgia",117500.0,760.0,35139.0,378.0,222.0,30.0,155.0,131.0,24.0,93.0,13,61684,2012
"Union City city, Georgia",121800.0,839.0,34453.0,19356.0,11572.0,1289.0,8946.0,7568.0,1378.0,3326.0,13,78324,2012
"Columbus city, Georgia",132900.0,778.0,41443.0,191278.0,119041.0,8746.0,82770.0,72182.0,10588.0,39225.0,13,19000,2012
"Hardwick CDP, Georgia",61400.0,673.0,23274.0,4552.0,2654.0,192.0,2079.0,1632.0,447.0,763.0,13,36668,2012
"Boykin CDP, Georgia",108000.0,-666666666.0,45197.0,385.0,256.0,0.0,164.0,133.0,31.0,103.0,13,09852,2012
"Cedar Springs CDP, Georgia",-666666666.0,-666666666.0,-666666666.0,43.0,43.0,0.0,24.0,24.0,0.0,24.0,13,14472,2012
"Coleman CDP, Georgia",73000.0,-666666666.0,41250.0,137.0,70.0,0.0,70.0,42.0,28.0,42.0,13,17580,2012
"Epworth CDP, Georgia",37900.0,645.0,32583.0,479.0,431.0,0.0,322.0,282.0,40.0,130.0,13,27736,2012
"Calvary CDP, Georgia",-666666666.0,-666666666.0,2499.0,47.0,47.0,0.0,46.0,20.0,26.0,0.0,13,12484,2012
"Crooked Creek CDP, Georgia",255000.0,1313.0,72625.0,876.0,666.0,29.0,493.0,233.0,260.0,176.0,13,20550,2012
"Eagle Grove CDP, Georgia",157800.0,-666666666.0,29333.0,127.0,77.0,0.0,40.0,40.0,0.0,40.0,13,24964,2012
"Canoochee CDP, Georgia",59200.0,-666666666.0,12143.0,76.0,76.0,0.0,44.0,44.0,0.0,44.0,13,12960,2012
"Cherry Log CDP, Georgia",146300.0,-666666666.0,40602.0,118.0,118.0,0.0,116.0,93.0,23.0,93.0,13,15844,2012
"Dewy Rose CDP, Georgia",-666666666.0,708.0,12109.0,163.0,58.0,0.0,27.0,27.0,0.0,0.0,13,22724,2012
"Empire CDP, Georgia",67500.0,-666666666.0,50083.0,664.0,341.0,81.0,168.0,161.0,7.0,150.0,13,27512,2012
"Milan city, Georgia",57100.0,488.0,26382.0,695.0,590.0,15.0,461.0,347.0,114.0,245.0,13,51408,2012
"Funston city, Georgia",93500.0,782.0,41080.0,771.0,514.0,9.0,266.0,233.0,33.0,172.0,13,31684,2012
"Garfield city, Georgia",71400.0,406.0,29688.0,291.0,169.0,11.0,120.0,111.0,9.0,66.0,13,32188,2012
"Good Hope city, Georgia",136200.0,1042.0,76458.0,440.0,276.0,6.0,170.0,155.0,15.0,139.0,13,33896,2012
"Morganton city, Georgia",158600.0,642.0,49926.0,470.0,327.0,29.0,236.0,185.0,51.0,142.0,13,52724,2012
"Midville city, Georgia",51400.0,313.0,30300.0,311.0,180.0,11.0,188.0,116.0,72.0,74.0,13,51240,2012
"Pulaski town, Georgia",84000.0,563.0,48611.0,264.0,230.0,4.0,101.0,82.0,19.0,58.0,13,63000,2012
"Gresham Park CDP, Georgia",121800.0,924.0,33990.0,7710.0,5036.0,741.0,3350.0,2736.0,614.0,1695.0,13,35240,2012
"North Druid Hills CDP, Georgia",301500.0,1027.0,52411.0,18416.0,13969.0,710.0,10496.0,9351.0,1145.0,3802.0,13,56168,2012
"Pinehurst city, Georgia",73800.0,566.0,32250.0,478.0,322.0,6.0,186.0,162.0,24.0,140.0,13,60984,2012
"Jakin city, Georgia",74300.0,490.0,34107.0,158.0,83.0,4.0,83.0,59.0,24.0,22.0,13,41792,2012
"Elberton city, Georgia",80400.0,554.0,29347.0,4617.0,3043.0,294.0,2319.0,1787.0,532.0,1010.0,13,26616,2012
"Martinez CDP, Georgia",152900.0,972.0,63426.0,35698.0,23588.0,1335.0,14486.0,13059.0,1427.0,9611.0,13,50036,2012
"Fair Oaks CDP, Georgia",91200.0,762.0,29720.0,8000.0,4653.0,759.0,3278.0,2726.0,552.0,878.0,13,28520,2012
"Powder Springs city, Georgia",143400.0,1179.0,58365.0,14027.0,8993.0,1043.0,5516.0,4899.0,617.0,4035.0,13,62524,2012
"Brooks town, Georgia",257900.0,1090.0,56250.0,655.0,467.0,40.0,278.0,266.0,12.0,222.0,13,11056,2012
"Doerun city, Georgia",85700.0,543.0,32422.0,968.0,557.0,55.0,407.0,345.0,62.0,154.0,13,23284,2012
"Sparta city, Georgia",81700.0,468.0,22298.0,2436.0,1809.0,149.0,859.0,673.0,186.0,448.0,13,72584,2012
"Blackshear city, Georgia",109000.0,302.0,26936.0,3455.0,2112.0,183.0,1709.0,1493.0,216.0,932.0,13,08284,2012
"Patterson city, Georgia",85500.0,1051.0,28654.0,749.0,482.0,37.0,342.0,268.0,74.0,194.0,13,59500,2012
"Eatonton city, Georgia",78100.0,637.0,24618.0,6510.0,3953.0,390.0,2983.0,2536.0,447.0,1597.0,13,26084,2012
"Kings Bay Base CDP, Georgia",-666666666.0,988.0,44651.0,1608.0,549.0,11.0,386.0,291.0,95.0,8.0,13,43580,2012
"Bloomingdale city, Georgia",150700.0,921.0,44254.0,2699.0,1709.0,62.0,1161.0,1026.0,135.0,703.0,13,08844,2012
"Garden City city, Georgia",99800.0,806.0,34528.0,8868.0,5548.0,308.0,3977.0,3451.0,526.0,1536.0,13,32048,2012
"Thunderbolt town, Georgia",162500.0,976.0,42800.0,2595.0,2015.0,28.0,1337.0,1084.0,253.0,606.0,13,76364,2012
"Tybee Island city, Georgia",380300.0,1139.0,57917.0,3025.0,2649.0,95.0,3177.0,1284.0,1893.0,1028.0,13,78036,2012
"Argyle town, Georgia",54600.0,495.0,14750.0,129.0,73.0,8.0,94.0,44.0,50.0,29.0,13,02844,2012
"Trenton city, Georgia",118000.0,683.0,36733.0,2197.0,1473.0,45.0,1048.0,921.0,127.0,562.0,13,77372,2012
"Unadilla city, Georgia",61900.0,313.0,24459.0,3679.0,2843.0,143.0,1061.0,812.0,249.0,487.0,13,78156,2012
"Blakely city, Georgia",75600.0,517.0,23532.0,5012.0,3042.0,255.0,2098.0,1864.0,234.0,918.0,13,08536,2012
"Evans CDP, Georgia",230600.0,1402.0,94350.0,30200.0,19661.0,791.0,11020.0,10069.0,951.0,8652.0,13,28044,2012
"Ball Ground city, Georgia",201000.0,918.0,63103.0,1435.0,1044.0,52.0,649.0,564.0,85.0,457.0,13,05036,2012
"Woodstock city, Georgia",188200.0,1055.0,68033.0,23849.0,15426.0,713.0,10245.0,9445.0,800.0,6750.0,13,84176,2012
"Kennesaw city, Georgia",168800.0,1071.0,62111.0,29826.0,18881.0,1936.0,12305.0,11223.0,1082.0,7573.0,13,43192,2012
"Rincon town, Georgia",170700.0,922.0,61912.0,8786.0,4659.0,283.0,3219.0,2888.0,331.0,1525.0,13,65296,2012
"Tarrytown town, Georgia",77800.0,-666666666.0,58929.0,144.0,98.0,2.0,65.0,50.0,15.0,50.0,13,75496,2012
"Whitesburg city, Georgia",82900.0,859.0,42723.0,657.0,434.0,55.0,246.0,213.0,33.0,146.0,13,82720,2012
"Williamson city, Georgia",133300.0,824.0,30500.0,478.0,300.0,69.0,168.0,154.0,14.0,66.0,13,83084,2012
"Sale City city, Georgia",63300.0,539.0,25625.0,510.0,286.0,21.0,178.0,177.0,1.0,106.0,13,68096,2012
"Sandy Springs city, Georgia",426800.0,989.0,65353.0,94816.0,66423.0,3567.0,47078.0,41350.0,5728.0,19966.0,13,68516,2012
"Sardis city, Georgia",57300.0,443.0,27946.0,1303.0,798.0,92.0,485.0,403.0,82.0,254.0,13,68740,2012
"Barwick city, Georgia",77500.0,535.0,19250.0,448.0,223.0,55.0,196.0,161.0,35.0,61.0,13,05708,2012
"Georgetown-Quitman County unified government, Georgia",66800.0,630.0,32750.0,2542.0,1638.0,142.0,1892.0,979.0,913.0,701.0,13,32528,2012
